gene_true_rank,n_queries,query_fraction,mean_step,mean_observed_value
1,851,0.1013215859030837,10.627497062279671,1.1940077581651698
2,641,0.07631860935825693,10.283931357254291,0.7295146118753181
3,519,0.061793070603643294,9.529865125240848,0.2615084573919502
4,515,0.06131682343136088,9.745631067961165,0.1880331514725725
5,491,0.05845934039766639,9.95723014256619,0.13335116631013097
6,511,0.06084057625907846,9.698630136986301,0.09758255359256017
7,484,0.057625907846172164,9.37603305785124,0.07942997154539062
8,496,0.05905464936301941,9.84274193548387,0.048080061129026054
9,502,0.05976902012144303,9.890438247011952,0.04083725878795954
10,486,0.05786403143231337,10.508230452674898,0.04284740233467064
11,473,0.05631622812239552,9.824524312896406,0.014051618122793923
12,488,0.05810215501845458,9.741803278688524,0.003622179244940874
13,487,0.057983093225383975,9.320328542094456,-0.00018379072974964822
14,495,0.0589355875699488,10.12929292929293,-0.023688721639082217
15,488,0.05810215501845458,9.887295081967213,-0.034877089785689964
16,472,0.05619716632932492,9.98093220338983,-0.07103798681226144
