gene_true_rank,n_queries,query_fraction,mean_step,mean_observed_value
1,557,0.09099820290802156,7.301615798922801,1.1759346776409259
2,395,0.06453193922561673,7.493670886075949,0.7053325457690987
3,359,0.058650547296193435,6.5264623955431755,0.2559797175581039
4,354,0.05783368730599575,6.9576271186440675,0.17548103724919784
5,369,0.060284267276588796,6.929539295392954,0.13331378752206371
6,364,0.05946740728639111,6.793956043956044,0.0964532432010714
7,363,0.05930403528835158,6.573002754820936,0.07349974503257982
8,369,0.060284267276588796,6.712737127371274,0.04099598073672226
9,363,0.05930403528835158,6.914600550964187,0.03046824706313785
10,359,0.058650547296193435,6.888579387186629,0.03589093365817291
11,374,0.06110112726678647,6.935828877005347,0.009983426586327799
12,364,0.05946740728639111,7.1923076923076925,-0.0045770809232921796
13,406,0.06632903120405162,6.571428571428571,-0.018451328054355537
14,364,0.05946740728639111,6.832417582417582,-0.028850168432435958
15,376,0.061427871262865544,6.617021276595745,-0.03990707893246435
16,385,0.06289821924522136,7.044155844155844,-0.07399223060241639
