episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,hit_at_k,dependency_regret
45,ACH-001699,PCBP1,4,-1.3098266704457755,0.16,8,1.1498266704457756,0,0,8,0,1.0,0.0
46,ACH-001702,CCND1,7,-0.8754089824405111,0.16,8,0.7154089824405111,0,0,8,0,1.0,0.6535087767336902
47,ACH-001502,CUL3,15,-0.7775966895053337,0.38000000000000006,19,0.3975966895053336,0,3,16,0,1.0,0.0
48,ACH-000552,XPO1,2,-1.2883116650458817,0.23999999999999996,12,1.0483116650458817,0,0,12,0,1.0,0.0
49,ACH-000191,SON,0,-0.9204689735687632,0.32,16,0.6004689735687632,0,0,16,0,1.0,0.3588044255176108
50,ACH-001431,PCBP1,0,-0.9929967534320622,0.32,16,0.6729967534320622,0,0,16,0,1.0,0.0
51,ACH-000356,RAC1,15,-0.4376158569240434,0.32,16,0.11761585692404342,0,0,16,0,1.0,0.33863738016573647
52,ACH-001737,NCAPD2,12,-1.2292886273848118,0.18,9,1.0492886273848119,0,0,9,0,1.0,0.0
53,ACH-003590,EIF1AX,6,-1.3483742897927675,0.48000000000000015,24,0.8683742897927673,0,7,16,1,1.0,0.8209560971678156
54,ACH-000371,SF3B1,7,-1.3412572803084262,0.16,8,1.1812572803084262,0,0,8,0,1.0,0.43517952440890384
55,ACH-000202,STIL,8,-0.2226327660348701,0.32,16,-0.09736723396512992,0,0,16,0,1.0,0.31425902084413765
56,ACH-001618,PTPN11,14,-0.5449521205881238,0.32,16,0.2249521205881238,0,0,16,0,1.0,0.10374447463149417
57,ACH-000435,TRRAP,2,-1.8557460968830697,0.23999999999999996,12,1.6157460968830697,0,0,12,0,1.0,0.0
58,ACH-000391,MYC,5,-2.498093946988168,0.16,8,2.3380939469881676,0,0,7,1,1.0,0.0
59,ACH-000637,XRCC5,12,-0.7996193882507213,0.32,16,0.4796193882507213,0,0,16,0,1.0,0.0
60,ACH-000915,ZNHIT6,12,-0.5661112348979077,0.32,16,0.2461112348979077,0,0,16,0,1.0,0.12468412316956423
61,ACH-000541,PPP2R1A,15,-0.7806288599017575,0.3,15,0.48062885990175747,0,0,15,0,1.0,0.0
62,ACH-000541,KIF18A,1,-0.9781356037448176,0.27999999999999997,14,0.6981356037448176,0,0,14,0,1.0,0.0
63,ACH-000030,EIF1AX,4,-2.1443092456875847,0.16,8,1.9843092456875848,0,0,8,0,1.0,0.0
64,ACH-002142,SRSF2,5,-2.319153720515064,0.16,8,2.159153720515064,0,0,8,0,1.0,0.0
65,ACH-000581,UPF2,1,-1.5070602511137934,0.27999999999999997,14,1.2270602511137934,0,0,14,0,1.0,0.0
66,ACH-000664,MTOR,4,-1.1224042086527506,0.34,17,0.7824042086527505,0,1,16,0,1.0,0.0
67,ACH-000630,SF3B1,9,-1.653505515814791,0.16,8,1.4935055158147912,0,0,8,0,1.0,0.13983169438371346
68,ACH-000290,PPP2R1A,7,-1.0567223580533167,0.16,8,0.8967223580533167,0,0,8,0,1.0,0.0
69,ACH-000244,EIF2B3,4,-1.0826187556965463,0.16,8,0.9226187556965463,0,0,8,0,1.0,0.4170667619776194
70,ACH-002705,ERCC3,10,-0.9941247453811306,0.16,8,0.8341247453811306,0,0,8,0,1.0,0.1104130921818145
71,ACH-000627,CRNKL1,8,-1.887053914645609,0.16,8,1.727053914645609,0,0,8,0,1.0,0.0
72,ACH-001699,DIS3,0,-0.8484696759358984,0.32,16,0.5284696759358984,0,0,16,0,1.0,0.14136471974103437
73,ACH-000018,PCBP1,7,-1.1128961804699882,0.32,16,0.7928961804699881,0,0,16,0,1.0,0.4316275645976104
74,ACH-000128,RARS2,13,-0.8480263757760557,0.32,16,0.5280263757760557,0,0,16,0,1.0,0.0
75,ACH-000391,XPO1,15,-2.1431936986674085,0.3,15,1.8431936986674085,0,0,15,0,1.0,0.0
76,ACH-000581,SON,14,-1.1742886265177634,0.32,16,0.8542886265177634,0,0,16,0,1.0,0.0
77,ACH-000381,PCBP1,15,-1.9453172367653624,0.3,15,1.6453172367653623,0,0,15,0,1.0,0.0
78,ACH-000323,CNOT3,3,-1.127900538692534,0.19999999999999998,10,0.9279005386925341,0,0,10,0,1.0,0.0
79,ACH-001431,H3-3A,7,-1.8761008227514728,0.16,8,1.716100822751473,0,0,8,0,1.0,0.0
80,ACH-000172,PIK3CA,6,-0.552916610727439,0.5400000000000001,27,0.012916610727438882,0,11,16,0,1.0,0.0
81,ACH-000334,EIF2B3,11,-1.221313985194537,0.16,8,1.061313985194537,0,0,8,0,1.0,0.0
82,ACH-000637,RFC5,2,-1.3228217333796113,0.23999999999999996,12,1.0828217333796113,0,0,12,0,1.0,0.0
83,ACH-001699,TRAPPC8,6,-1.1642374419832195,0.32,16,0.8442374419832195,0,0,16,0,1.0,0.0
84,ACH-000202,RGP1,10,-0.5297067144130937,0.4000000000000001,20,0.12970671441309362,0,4,16,0,1.0,0.4183906899929223
85,ACH-001737,DHX15,13,-1.364271847635642,0.21999999999999997,11,1.144271847635642,0,0,11,0,1.0,0.0
86,ACH-000469,KIF18A,12,-1.815862000935063,0.18,9,1.635862000935063,0,0,9,0,1.0,0.0
87,ACH-000188,MTOR,4,-0.935436774685792,0.16,8,0.775436774685792,0,0,8,0,1.0,0.2750685437127768
88,ACH-000766,XPO1,7,-2.718445347265165,0.16,8,2.558445347265165,0,0,8,0,1.0,0.0
89,ACH-000188,NUP93,3,-1.583839550239516,0.19999999999999998,10,1.383839550239516,0,0,10,0,1.0,0.0
90,ACH-002400,ERCC2,9,-1.362424418856379,0.32,16,1.042424418856379,0,0,16,0,1.0,0.0
91,ACH-000030,WTAP,5,-0.3098933607459478,0.23999999999999996,12,0.06989336074594785,0,0,12,0,1.0,0.7443694073641753
92,ACH-001205,XPO1,7,-2.407398443438744,0.16,8,2.247398443438744,0,0,8,0,1.0,0.0
93,ACH-000961,SMC5,1,-0.8364779839093371,0.32,16,0.5164779839093372,0,0,16,0,1.0,0.02989096424399651
94,ACH-000403,MED12,2,-0.7516171978432444,0.32,16,0.4316171978432444,0,0,16,0,1.0,0.0
95,ACH-000381,NCAPD2,3,-1.2298681943853993,0.19999999999999998,10,1.0298681943853993,0,0,10,0,1.0,0.01096511692895108
96,ACH-000676,EIF2B3,5,-1.4657281077736102,0.16,8,1.3057281077736103,0,0,8,0,1.0,0.0
97,ACH-001038,NCAPD2,2,-1.5105234142713149,0.23999999999999996,12,1.2705234142713149,0,0,12,0,1.0,0.0
98,ACH-000961,DHX15,9,-1.3504002601545897,0.16,8,1.1904002601545898,0,0,8,0,1.0,0.0
99,ACH-001054,SON,2,-0.8184525253127403,0.23999999999999996,12,0.5784525253127403,0,0,12,0,1.0,0.0
100,ACH-000381,RFC5,5,-1.3096870223151686,0.16,8,1.1496870223151687,0,0,8,0,1.0,0.0
101,ACH-001303,MTOR,8,-0.675580290534627,0.16,8,0.515580290534627,0,0,8,0,1.0,0.33414089249727164
102,ACH-001528,XPO1,0,-2.018717148911429,0.32,16,1.698717148911429,0,0,16,0,1.0,0.0
103,ACH-000550,ERCC3,10,-1.133241320983323,0.16,8,0.9732413209833229,0,0,8,0,1.0,0.0
104,ACH-000391,DHX15,11,-1.1974874047851325,0.16,8,1.0374874047851326,0,0,8,0,1.0,0.0
105,ACH-000444,POLE,11,-1.3529790160306836,0.16,8,1.1929790160306837,0,0,8,0,1.0,0.0
106,ACH-000191,ZNF407,13,-0.6958175122935516,0.32,16,0.3758175122935516,0,0,16,0,1.0,0.1521067880034822
107,ACH-000766,STIL,9,-0.1852255876574578,0.32,16,-0.1347744123425422,0,0,16,0,1.0,0.7042095629007656
108,ACH-000148,DHPS,4,-0.8668816127202098,0.32,16,0.5468816127202099,0,0,16,0,1.0,0.0
109,ACH-000005,CTCF,8,-2.0529724980912167,0.16,8,1.8929724980912168,0,0,8,0,1.0,0.0
110,ACH-000959,SMC4,8,-1.9331370106992645,0.16,8,1.7731370106992645,0,0,8,0,1.0,0.0
111,ACH-003590,SON,14,-0.3815868384945261,0.32,16,0.06158683849452612,0,0,16,0,1.0,0.42635092962705756
112,ACH-001205,MED12,1,-0.5203130045873364,0.32,16,0.20031300458733642,0,0,16,0,1.0,0.11561046633683025
113,ACH-000290,H3-3A,4,-1.96625739722954,0.16,8,1.8062573972295402,0,0,8,0,1.0,0.0
114,ACH-000244,CNOT3,10,-1.5840810856142795,0.16,8,1.4240810856142796,0,0,8,0,1.0,0.0
115,ACH-000697,RARS2,11,-1.0180795361361437,0.32,16,0.6980795361361436,0,0,16,0,1.0,0.0
116,ACH-002693,PPP2R1A,1,-1.591461438076072,0.32,16,1.271461438076072,0,0,16,0,1.0,0.0
117,ACH-000146,PPP2R1A,1,-1.2609121342163976,0.27999999999999997,14,0.9809121342163976,0,0,14,0,1.0,0.2263499632977941
118,ACH-000697,ICE1,11,-0.8855984406764326,0.32,16,0.5655984406764325,0,0,16,0,1.0,0.21750311588035043
119,ACH-000541,WTAP,13,-0.8929179281952293,0.32,16,0.5729179281952292,0,0,16,0,1.0,0.03366146988745189
