gene_true_rank,n_queries,query_fraction,mean_step,mean_observed_value
1,406,0.0849727919631645,5.061576354679803,1.189666666071381
2,337,0.07053160318124739,4.940652818991098,0.7437488768004883
3,267,0.055881121808287984,4.610486891385768,0.24934120724554645
4,320,0.06697362913352867,4.4875,0.18898231125979675
5,291,0.060904143993302635,4.422680412371134,0.1123097213639081
6,289,0.06048555881121808,4.588235294117647,0.10363584348115941
7,277,0.05797404771871076,4.516245487364621,0.08327490094910894
8,295,0.061741314357471745,4.403389830508474,0.041560269576909725
9,299,0.06257848472164085,4.391304347826087,0.03630672120676398
10,280,0.05860192549183759,4.178571428571429,0.024781737473969036
11,285,0.05964838844704898,4.228070175438597,0.0017403371599939153
12,283,0.05922980326496442,4.042402826855124,-0.0019827501897883267
13,282,0.059020510673922146,4.379432624113475,-0.005676222102515088
14,277,0.05797404771871076,4.693140794223827,-0.02909436370391824
15,298,0.06236919213059858,4.352348993288591,-0.0351881081078313
16,292,0.06111343658434491,4.445205479452055,-0.06375458568961782
