OncotreeLineage,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,n_episodes
Lung,2.418181818181818,2.1454545454545455,4.4,0.8,55
Lymphoid,2.5,2.1481481481481484,4.425925925925926,0.7777777777777778,54
Bowel,2.45,2.25,4.075,1.0,40
CNS/Brain,2.236842105263158,1.894736842105263,4.421052631578948,0.7105263157894737,38
Bone,2.0303030303030303,2.393939393939394,4.606060606060606,0.7878787878787878,33
Esophagus/Stomach,2.466666666666667,1.7333333333333334,3.966666666666667,0.7333333333333333,30
Uterus,2.5172413793103448,2.0,4.206896551724138,0.8620689655172413,29
Thyroid,2.391304347826087,2.0869565217391304,4.0,1.0434782608695652,23
Bladder/Urinary Tract,2.5652173913043477,2.0869565217391304,3.6956521739130435,0.9130434782608695,23
Head and Neck,2.5217391304347827,2.0,4.391304347826087,0.5652173913043478,23
Soft Tissue,2.409090909090909,1.7727272727272727,4.318181818181818,0.8636363636363636,22
Breast,2.5238095238095237,1.8095238095238095,3.9047619047619047,1.0476190476190477,21
Skin,2.6315789473684212,1.7894736842105263,4.2631578947368425,0.631578947368421,19
Liver,2.2666666666666666,2.066666666666667,3.8,1.2666666666666666,15
Myeloid,2.466666666666667,1.6666666666666667,4.066666666666666,1.1333333333333333,15
Peripheral Nervous System,2.5833333333333335,2.0833333333333335,5.166666666666667,0.8333333333333334,12
Ovary/Fallopian Tube,2.272727272727273,2.1818181818181817,4.2727272727272725,0.5454545454545454,11
Kidney,2.4545454545454546,2.0,4.363636363636363,1.1818181818181819,11
Pancreas,2.0,2.3,3.2,1.3,10
Testis,2.5,2.75,4.5,0.5,8
Cervix,2.4,1.8,4.4,0.8,5
Pleura,2.3333333333333335,2.3333333333333335,4.666666666666667,1.0,3
