policy,selected_dependency,hit_at_k,ndcg_at_k,mrr_at_k,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,variant,output_path,status
rl_env_dqn,-1.2672678853367596,1.0,0.8196985872333299,0.76,0.24452000000000002,12.226,1.0227478853367595,8.064,0.334,3.306,0.522,ctx_larger_ctx32,/root/seacts/results/depmap_baselines/dqn_context_sweeps/ctx_larger_ctx32/dqn_eval_metrics.csv,trained
rl_env_dqn,-1.246575264502137,1.0,0.8092449179363901,0.7553333333333333,0.23804,11.902,1.008535264502137,5.69,0.86,4.664,0.688,ctx_baseline_larger,/root/seacts/results/depmap_baselines/dqn_context_sweeps/ctx_baseline_larger/dqn_eval_metrics.csv,skipped_existing
