gene_true_rank,n_queries,query_fraction,mean_step,mean_observed_value
1,462,0.07467270082430903,7.2272727272727275,1.1428447296113793
2,390,0.06303539679974139,6.782051282051282,0.693021226871718
3,378,0.06109584612898012,6.354497354497354,0.25236964702219844
4,388,0.06271213835461452,6.765463917525773,0.17785430370044664
5,387,0.06255050913205107,6.736434108527132,0.12784742636965066
6,357,0.05770163245514789,6.319327731092437,0.09042885936121489
7,394,0.06368191368999515,6.802030456852792,0.06985999547544823
8,376,0.06077258768385324,6.9361702127659575,0.041439406912530646
9,382,0.06174236301923388,6.539267015706806,0.034490152857303294
10,378,0.06109584612898012,6.555555555555555,0.03335817967852319
11,395,0.06384354291255859,6.675949367088608,0.011382555955992996
12,384,0.06206562146436076,6.8359375,-0.005460689375945525
13,383,0.061903992241797316,6.788511749347259,-0.01220099452283046
14,366,0.05915629545821885,6.868852459016393,-0.029793221559364553
15,382,0.06174236301923388,6.465968586387435,-0.04071094522135401
16,385,0.062227250686924196,7.106493506493506,-0.07617141985021564
