gene_true_rank,n_queries,query_fraction,mean_step,mean_observed_value
1,474,0.07529785544082605,7.367088607594937,1.1757903847132647
2,378,0.060047656870532165,6.896825396825397,0.6787295759970853
3,397,0.0630659253375695,6.7153652392947105,0.2545132984591433
4,386,0.061318506751389994,6.7357512953367875,0.17795411577089792
5,382,0.06068308181096108,6.607329842931938,0.13157711545002526
6,390,0.061953931691818905,6.838461538461538,0.09689524505213296
7,383,0.06084193804606831,6.409921671018277,0.06858139736384597
8,371,0.058935663224781575,6.415094339622642,0.03891099832611254
9,383,0.06084193804606831,6.676240208877284,0.03179335499813613
10,391,0.06211278792692613,6.524296675191816,0.03477685057693329
11,393,0.06243050039714059,6.585241730279898,0.010172109695506614
12,395,0.06274821286735505,6.729113924050633,-0.008983859994316739
13,402,0.06386020651310564,6.330845771144278,-0.015486329592195345
14,395,0.06274821286735505,6.754430379746835,-0.03358189189113411
15,402,0.06386020651310564,6.611940298507463,-0.035383664539498934
16,373,0.05925337569499603,6.477211796246649,-0.07271071705249818
