gene_true_rank,n_queries,query_fraction,mean_step,mean_observed_value
1,425,0.07991726212861978,6.404705882352941,1.1770473240712487
2,359,0.06750658142158707,5.220055710306407,0.7326510001156531
3,328,0.06167732230161715,5.185975609756097,0.2583084376529028
4,333,0.06261752538548326,5.3093093093093096,0.1727109552696113
5,321,0.060361037984204585,5.205607476635514,0.125738935554789
6,325,0.06111320045129748,5.298461538461538,0.10147749741058743
7,319,0.05998495675065814,5.360501567398119,0.0816994890691193
8,309,0.058104550582925914,4.770226537216828,0.04228916228186411
9,319,0.05998495675065814,4.8119122257053295,0.03073741626297812
10,335,0.06299360661902971,5.411940298507463,0.028731111534043893
11,337,0.06336968785257616,5.112759643916914,0.00612728714586004
12,318,0.05979691613388492,5.320754716981132,-0.006755562745418933
13,330,0.062053403535163594,5.251515151515152,-0.012811108860584002
14,310,0.05829259119969914,5.267741935483871,-0.026633221353609612
15,329,0.06186536291839037,5.167173252279635,-0.04122743703927059
16,321,0.060361037984204585,5.355140186915888,-0.06819818746717338
