OncotreeLineage,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,n_episodes
Lung,0.9272727272727272,1.0,8.745454545454546,0.32727272727272727,55
Lymphoid,0.6851851851851852,1.0925925925925926,8.592592592592593,0.2777777777777778,54
Bowel,0.7,1.0,9.375,0.25,40
CNS/Brain,1.2894736842105263,0.8947368421052632,8.947368421052632,0.34210526315789475,38
Bone,1.0606060606060606,0.7878787878787878,8.909090909090908,0.8181818181818182,33
Esophagus/Stomach,1.3666666666666667,1.0333333333333334,7.533333333333333,0.3333333333333333,30
Uterus,0.6896551724137931,1.1724137931034482,9.0,0.3103448275862069,29
Thyroid,1.1304347826086956,0.782608695652174,6.608695652173913,0.4782608695652174,23
Bladder/Urinary Tract,1.6956521739130435,0.6521739130434783,5.826086956521739,0.8695652173913043,23
Head and Neck,1.0,0.8695652173913043,9.0,0.5217391304347826,23
Soft Tissue,0.5454545454545454,1.0909090909090908,8.454545454545455,0.5454545454545454,22
Breast,1.2857142857142858,1.1904761904761905,6.380952380952381,0.19047619047619047,21
Skin,0.631578947368421,0.8947368421052632,7.631578947368421,0.9473684210526315,19
Liver,1.2666666666666666,0.8666666666666667,6.666666666666667,0.4666666666666667,15
Myeloid,1.0666666666666667,1.4666666666666666,7.6,0.0,15
Peripheral Nervous System,0.6666666666666666,1.0,8.333333333333334,0.5,12
Ovary/Fallopian Tube,2.0,1.4545454545454546,7.7272727272727275,0.5454545454545454,11
Kidney,1.1818181818181819,0.8181818181818182,8.0,0.7272727272727273,11
Pancreas,0.7,1.4,7.1,0.1,10
Testis,0.375,1.375,11.5,0.0,8
Cervix,0.4,0.8,9.2,0.2,5
Pleura,2.0,0.6666666666666666,6.0,0.0,3
