episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation
61,ACH-000541,PPP2R1A,15,-0.7806288599017575,0.34,17,0.44062885990175743,2,0,15,0
62,ACH-000541,KIF18A,1,-0.9781356037448176,0.19999999999999998,10,0.7781356037448176,1,0,9,0
63,ACH-000030,EIF1AX,4,-2.1443092456875847,0.16,8,1.9843092456875848,3,0,5,0
64,ACH-002142,SRSF2,5,-2.319153720515064,0.16,8,2.159153720515064,0,0,8,0
65,ACH-000581,UPF2,1,-1.5070602511137934,0.27999999999999997,14,1.2270602511137934,1,0,13,0
66,ACH-000664,MTOR,4,-1.1224042086527506,0.16,8,0.9624042086527506,1,0,7,0
67,ACH-000630,SF3B1,9,-1.653505515814791,0.36000000000000004,18,1.293505515814791,2,2,14,0
68,ACH-000290,PPP2R1A,7,-1.0567223580533167,0.16,8,0.8967223580533167,3,0,5,0
69,ACH-000244,EIF2B3,4,-1.0826187556965463,0.18,9,0.9026187556965464,0,0,9,0
70,ACH-002705,ERCC3,10,-0.9941247453811306,0.16,8,0.8341247453811306,1,0,7,0
71,ACH-000627,CRNKL1,8,-1.887053914645609,0.16,8,1.727053914645609,2,0,6,0
72,ACH-001699,DIS3,0,-0.8484696759358984,0.38000000000000006,19,0.46846967593589833,3,1,15,0
73,ACH-000018,PCBP1,7,-1.1128961804699882,0.16,8,0.9528961804699881,0,0,8,0
74,ACH-000128,RARS2,13,-0.8480263757760557,0.6400000000000002,32,0.20802637577605543,13,3,16,0
75,ACH-000391,XPO1,15,-2.1431936986674085,0.32,16,1.8231936986674084,0,0,16,0
76,ACH-000581,SON,14,-1.1742886265177634,0.16,8,1.0142886265177635,1,0,7,0
77,ACH-000381,PCBP1,15,-1.9453172367653624,0.19999999999999998,10,1.7453172367653624,2,0,8,0
78,ACH-000323,CNOT3,3,-1.127900538692534,0.21999999999999997,11,0.9079005386925341,0,0,11,0
79,ACH-001431,H3-3A,7,-1.8761008227514728,0.16,8,1.716100822751473,0,0,8,0
80,ACH-000172,PIK3CA,6,-0.552916610727439,0.6400000000000002,32,-0.0870833892725612,7,9,16,0
81,ACH-000334,EIF2B3,11,-1.221313985194537,0.23999999999999996,12,0.9813139851945369,1,0,11,0
82,ACH-000637,RFC5,2,-1.3228217333796113,0.3,15,1.0228217333796112,1,0,14,0
83,ACH-001699,BRD4,11,-1.038241485242819,0.16,8,0.878241485242819,0,3,5,0
84,ACH-000202,RGP1,10,-0.5297067144130937,0.6400000000000002,32,-0.11029328558690654,16,2,14,0
85,ACH-001737,DHX15,13,-1.364271847635642,0.27999999999999997,14,1.0842718476356419,1,0,13,0
86,ACH-000469,KIF18A,12,-1.815862000935063,0.16,8,1.655862000935063,1,0,7,0
87,ACH-000188,MTOR,4,-0.935436774685792,0.21999999999999997,11,0.715436774685792,0,1,10,0
88,ACH-000766,XPO1,7,-2.718445347265165,0.16,8,2.558445347265165,2,0,6,0
89,ACH-000188,NUP93,3,-1.583839550239516,0.16,8,1.423839550239516,0,2,6,0
90,ACH-002400,ICE1,5,-0.8527442412165052,0.18,9,0.6727442412165052,5,1,3,0
91,ACH-000030,PPP2R1A,0,-1.054262768110123,0.32,16,0.734262768110123,2,0,14,0
92,ACH-001205,XPO1,7,-2.407398443438744,0.16,8,2.247398443438744,0,0,8,0
93,ACH-000961,SMC5,1,-0.8364779839093371,0.6400000000000002,32,0.1964779839093369,11,5,16,0
94,ACH-000403,RGP1,7,-0.5306747669649283,0.6400000000000002,32,-0.10932523303507191,15,3,14,0
95,ACH-000381,NCAPD2,3,-1.2298681943853993,0.18,9,1.0498681943853994,2,0,7,0
96,ACH-000676,EIF2B3,5,-1.4657281077736102,0.16,8,1.3057281077736103,4,0,4,0
97,ACH-001038,NCAPD2,2,-1.5105234142713149,0.16,8,1.350523414271315,0,0,8,0
98,ACH-000961,DHX15,9,-1.3504002601545897,0.36000000000000004,18,0.9904002601545896,8,9,1,0
99,ACH-001054,SON,2,-0.8184525253127403,0.27999999999999997,14,0.5384525253127403,0,0,14,0
100,ACH-000381,RFC5,5,-1.3096870223151686,0.16,8,1.1496870223151687,2,0,6,0
101,ACH-001303,MTOR,8,-0.675580290534627,0.32,16,0.355580290534627,0,0,16,0
102,ACH-001528,XPO1,0,-2.018717148911429,0.16,8,1.8587171489114291,0,0,8,0
103,ACH-000550,ERCC3,10,-1.133241320983323,0.34,17,0.7932413209833229,7,0,10,0
104,ACH-000391,DHX15,11,-1.1974874047851325,0.18,9,1.0174874047851326,0,0,9,0
105,ACH-000444,POLE,11,-1.3529790160306836,0.21999999999999997,11,1.1329790160306836,2,0,9,0
106,ACH-000191,ZNF407,13,-0.6958175122935516,0.32,16,0.3758175122935516,0,0,16,0
107,ACH-000766,MED12,5,-0.7677945326187303,0.34,17,0.4277945326187303,3,0,14,0
108,ACH-000148,DHPS,4,-0.8668816127202098,0.16,8,0.7068816127202098,5,0,3,0
109,ACH-000005,CTCF,8,-2.0529724980912167,0.16,8,1.8929724980912168,0,0,8,0
110,ACH-000959,SMC4,8,-1.9331370106992645,0.16,8,1.7731370106992645,2,0,6,0
111,ACH-003590,CCND1,1,-0.8079377681215837,0.16,8,0.6479377681215837,2,0,6,0
112,ACH-001205,MED12,1,-0.5203130045873364,0.6400000000000002,32,-0.11968699541266381,3,10,16,3
113,ACH-000290,H3-3A,4,-1.96625739722954,0.34,17,1.62625739722954,3,0,14,0
