gene_true_rank,n_queries,query_fraction,mean_step,mean_observed_value
1,475,0.07983193277310924,7.75578947368421,1.1199848830948107
2,397,0.06672268907563025,6.72544080604534,0.7089479389961967
3,380,0.06386554621848739,5.973684210526316,0.25554905174679127
4,386,0.06487394957983193,6.007772020725389,0.186043688914498
5,362,0.06084033613445378,6.077348066298343,0.13971715761558073
6,357,0.06,6.053221288515406,0.10177901715244801
7,368,0.06184873949579832,5.975543478260869,0.08157462105084219
8,355,0.05966386554621849,5.504225352112676,0.04456992159123161
9,354,0.05949579831932773,5.830508474576271,0.03324156297348919
10,369,0.062016806722689076,6.051490514905149,0.03460344774499981
11,375,0.06302521008403361,5.525333333333333,0.0074055743073369665
12,349,0.05865546218487395,5.782234957020058,-0.004462495480520552
13,362,0.06084033613445378,5.779005524861878,-0.017143349886373168
14,355,0.05966386554621849,5.8,-0.027519619998867505
15,361,0.060672268907563026,5.980609418282548,-0.03472289187317398
16,345,0.05798319327731093,5.791304347826087,-0.0723377666108296
