OncotreeLineage,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,n_episodes
Lung,11.563636363636364,0.05454545454545454,0.34545454545454546,0.05454545454545454,55
Lymphoid,11.703703703703704,0.05555555555555555,0.6111111111111112,0.07407407407407407,54
Bowel,11.275,0.025,0.275,0.1,40
CNS/Brain,11.842105263157896,0.10526315789473684,0.6052631578947368,0.05263157894736842,38
Bone,11.848484848484848,0.15151515151515152,0.9090909090909091,0.06060606060606061,33
Esophagus/Stomach,10.8,0.0,0.6666666666666666,0.0,30
Uterus,11.03448275862069,0.0,0.8275862068965517,0.034482758620689655,29
Thyroid,10.434782608695652,0.0,0.043478260869565216,0.0,23
Bladder/Urinary Tract,9.478260869565217,0.08695652173913043,1.3478260869565217,0.0,23
Head and Neck,10.782608695652174,0.0,0.5652173913043478,0.0,23
Soft Tissue,12.045454545454545,0.045454545454545456,0.18181818181818182,0.045454545454545456,22
Breast,10.285714285714286,0.0,0.09523809523809523,0.0,21
Skin,10.894736842105264,0.05263157894736842,0.21052631578947367,0.05263157894736842,19
Liver,9.8,0.13333333333333333,1.1333333333333333,0.06666666666666667,15
Myeloid,12.866666666666667,0.0,0.0,0.0,15
Peripheral Nervous System,12.166666666666666,0.0,0.9166666666666666,0.0,12
Ovary/Fallopian Tube,9.909090909090908,0.7272727272727273,2.909090909090909,0.18181818181818182,11
Kidney,10.818181818181818,0.09090909090909091,0.18181818181818182,0.09090909090909091,11
Pancreas,10.0,0.0,0.1,0.0,10
Testis,14.5,0.0,0.25,0.0,8
Cervix,11.2,0.0,0.4,0.0,5
Pleura,10.333333333333334,0.0,0.0,0.0,3
