policy,selected_dependency,hit_at_k,ndcg_at_k,mrr_at_k,query_cost
data_oracle_dependency,-1.4234836145695708,1.0,1.0,1.0,0.0
data_expression_score,-0.6653489378992199,0.875,0.5269804602111291,0.4318333333333328,1.0
data_average_all_modalities,-0.460388025317481,0.78,0.42860317221201755,0.3056666666666667,3.0
data_cna_score,-0.2636931702874988,0.558,0.2665764425204741,0.16049999999999995,1.0
data_random_select,-0.16412098274894235,0.483,0.22098147153897008,0.10433333333333326,0.0
data_hotspot_mutation_score,-0.16026398256764895,0.46,0.21327312366573525,0.10899999999999994,1.0
data_damaging_mutation_score,-0.14384109973668624,0.455,0.20602608165740605,0.10433333333333329,1.0
