policy,selected_dependency,hit_at_k,ndcg_at_k,mrr_at_k,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,variant,output_path
rl_env_dqn,-1.26093159366605,1.0,0.8287264176291208,0.7603333333333333,0.238,11.9,1.02293159366605,11.23,0.062,0.564,0.044,scale1_long_structured_1step,/root/seacts/results/depmap_baselines/dqn_ablation/scale1_long_structured_1step/dqn_eval_metrics.csv
rl_env_dqn,-1.2339795213257378,0.998,0.7869791214335492,0.7103333333333334,0.21272,10.636,1.0212595213257378,0.992,1.002,8.226,0.416,scale1_long_structured_dueling_3step,/root/seacts/results/depmap_baselines/dqn_ablation/scale1_long_structured_dueling_3step/dqn_eval_metrics.csv
rl_env_dqn,-1.2743068711793932,0.998,0.8254489070991041,0.7853333333333333,0.2832,14.16,0.9911068711793933,1.34,1.244,10.95,0.626,scale1_long_structured_dueling_1step,/root/seacts/results/depmap_baselines/dqn_ablation/scale1_long_structured_dueling_1step/dqn_eval_metrics.csv
rl_env_dqn,-1.1770386097151293,0.998,0.7569668092631955,0.6663333333333333,0.19952,9.976,0.9775186097151294,0.014,1.16,8.508,0.294,scale1_long_structured_3step,/root/seacts/results/depmap_baselines/dqn_ablation/scale1_long_structured_3step/dqn_eval_metrics.csv
rl_env_dqn,-1.1809393048349777,0.98,0.7056274177891547,0.6706666666666666,0.33596,16.798,0.8449793048349775,4.534,4.304,4.422,3.538,scale1_long_mlp_1step,/root/seacts/results/depmap_baselines/dqn_ablation/scale1_long_mlp_1step/dqn_eval_metrics.csv
rl_env_dqn,-0.9902454962032554,0.918,0.6163443935904941,0.5363333333333333,0.1911199999999999,9.556,0.7991254962032555,2.412,2.052,4.24,0.852,scale1_long_mlp_3step,/root/seacts/results/depmap_baselines/dqn_ablation/scale1_long_mlp_3step/dqn_eval_metrics.csv
