episode,total_reward,n_queries,epsilon,loss,validation_total_reward,validation_n_queries,validation_selected_dependency,validation_hit_at_k
0,0.024055719315443508,10,0.9998606666666666,0.0,,,,
1,-0.3195227608756745,8,0.9997466666666667,0.0,,,,
2,1.088693157249565,8,0.9996326666666666,0.0,,,,
3,-0.12859894173416409,11,0.9994806666666667,0.0,,,,
4,-0.24858498403391138,8,0.9993666666666666,0.0,,,,
5,-0.17747842226620758,11,0.9992146666666667,0.0,,,,
6,-0.3404406725173806,9,0.999088,0.0,,,,
7,-0.011061098268470515,8,0.998974,0.0,,,,
8,0.07081187738096162,9,0.9988473333333333,0.0,,,,
9,-0.1362967564909181,10,0.998708,0.0,,,,
10,-0.4019333949732485,9,0.9985813333333333,0.0,,,,
11,-0.283262267658223,8,0.9984673333333334,0.0,,,,
12,0.05422346581101159,8,0.9983533333333333,0.0,,,,
13,0.536090116950871,8,0.9982393333333334,0.0,,,,
14,-0.42790030193185746,8,0.9981253333333333,0.0,,,,
15,-0.1523788208103932,9,0.9979986666666667,0.0,,,,
16,0.9022572870032841,10,0.9978593333333333,0.0,,,,
17,1.275970652625725,11,0.9977073333333333,0.0,,,,
18,-0.1928051926016239,8,0.9975933333333333,0.0,,,,
19,-0.05016797073512841,8,0.9974793333333334,0.0,,,,
20,-0.10304753930330995,13,0.997302,0.0,,,,
21,0.020104807217144194,8,0.997188,0.0,,,,
22,-0.3190832008847383,9,0.9970613333333334,0.0,,,,
23,0.21559057139133,8,0.9969473333333333,0.0,,,,
24,0.8777147396465171,8,0.9968333333333333,0.0,,,,
25,-0.36705432344586136,13,0.996656,0.0,,,,
26,0.033653123824632813,11,0.996504,0.0,,,,
27,-0.0596696054425655,8,0.99639,0.0,,,,
28,-0.3765711128024391,9,0.9962633333333333,0.0,,,,
29,-0.1144786334770222,8,0.9961493333333333,0.0,,,,
30,0.7836505515010923,20,0.9958833333333333,0.0,,,,
31,-0.1620306113719043,8,0.9957693333333333,0.0,,,,
32,-0.24960123078685748,10,0.99563,0.0,,,,
