episode_id,cell_line_id,step,action_type,gene,modality,observed_value,gene_true_rank,n_queries_so_far,cumulative_query_cost,cumulative_reward
0,ACH-000417,0,query,CPQ,expression,0.06967490750109956,7,1,0.02,-0.02
0,ACH-000417,1,query,HYDIN,damaging_mutation,0.25471461338348617,4,2,0.04,-0.04
0,ACH-000417,2,query,MYT1,cna,0.060901084832552146,9,3,0.06,-0.06
0,ACH-000417,3,query,PRL,expression,-0.021218597070165324,12,4,0.08,-0.08
0,ACH-000417,4,query,CDKN2A,hotspot_mutation,-0.15990061184287582,16,5,0.1,-0.1
0,ACH-000417,5,query,SIAE,expression,-0.20531415958794294,15,6,0.12000000000000001,-0.12000000000000001
0,ACH-000417,6,query,DIS3,hotspot_mutation,0.7264397960483435,2,7,0.14,-0.14
0,ACH-000417,7,query,AGXT2,hotspot_mutation,,13,8,0.16,-0.16
0,ACH-000417,8,query,DXO,cna,0.08107685456433394,6,9,0.18,-0.18
0,ACH-000417,9,query,CTNNB1,cna,0.2887511692632837,3,10,0.19999999999999998,-0.19999999999999998
0,ACH-000417,10,query,DIS3,damaging_mutation,0.7258738149561286,2,11,0.21999999999999997,-0.21999999999999997
0,ACH-000417,11,query,DIS3,expression,0.7349512098587564,2,12,0.23999999999999996,-0.23999999999999996
0,ACH-000417,12,query,TGOLN2,hotspot_mutation,0.13259329986233387,10,13,0.25999999999999995,-0.25999999999999995
0,ACH-000417,13,query,FAT1,hotspot_mutation,,11,14,0.27999999999999997,-0.27999999999999997
0,ACH-000417,14,query,CTNNB1,expression,0.3484006941629424,3,15,0.3,-0.3
0,ACH-000417,15,query,VWA5A,damaging_mutation,-0.17894285295436982,14,16,0.32,-0.32
0,ACH-000417,16,query,TGOLN2,damaging_mutation,0.13259329986233387,10,17,0.34,-0.34
0,ACH-000417,17,select,DIS3,,,2,17,0.34,0.22376711169748192
1,ACH-000552,0,query,AGAP1,expression,0.028249042166424702,5,1,0.02,-0.02
1,ACH-000552,1,query,SCG2,damaging_mutation,0.026211489802557008,14,2,0.04,-0.04
1,ACH-000552,2,query,KIF18A,cna,1.5207011005346889,1,3,0.06,-0.06
1,ACH-000552,3,query,KIF18A,expression,1.373070628744392,1,4,0.08,-0.08
1,ACH-000552,4,query,ARID2,cna,0.38044908037811864,3,5,0.1,-0.1
1,ACH-000552,5,query,NEFM,expression,-0.0883712605551933,13,6,0.12000000000000001,-0.12000000000000001
1,ACH-000552,6,query,CNOT9,hotspot_mutation,0.522593857478277,2,7,0.14,-0.14
1,ACH-000552,7,query,SLC25A32,cna,0.008243546105368482,16,8,0.16,-0.16
1,ACH-000552,8,select,KIF18A,,,1,8,0.16,3.2160423938541425
2,ACH-000172,0,query,ZC3H4,expression,0.18709188965300175,3,1,0.02,-0.02
2,ACH-000172,1,query,CD55,damaging_mutation,0.034581990485691966,7,2,0.04,-0.04
2,ACH-000172,2,query,SIAE,cna,-0.20489194190523274,15,3,0.06,-0.06
2,ACH-000172,3,query,TRIML2,hotspot_mutation,-0.09464534893894821,11,4,0.08,-0.08
2,ACH-000172,4,query,CHD4,expression,1.1281913692360472,1,5,0.1,-0.1
2,ACH-000172,5,query,PTP4A3,expression,0.08309620191350386,12,6,0.12000000000000001,-0.12000000000000001
2,ACH-000172,6,query,CD55,hotspot_mutation,,7,7,0.14,-0.14
2,ACH-000172,7,query,MUC16,cna,0.02052530432898008,14,8,0.16,-0.16
2,ACH-000172,8,query,CHD4,damaging_mutation,1.124712076785208,1,9,0.18,-0.18
2,ACH-000172,9,query,CBL,cna,-0.03573995460860618,10,10,0.19999999999999998,-0.19999999999999998
2,ACH-000172,10,query,CHD4,cna,1.127694229437706,1,11,0.21999999999999997,-0.21999999999999997
2,ACH-000172,11,query,ZFAND1,expression,-0.06739833368023927,8,12,0.23999999999999996,-0.23999999999999996
2,ACH-000172,12,query,MYD88,cna,-0.019733764786383598,4,13,0.25999999999999995,-0.25999999999999995
2,ACH-000172,13,query,MUC16,damaging_mutation,0.02108164077444024,14,14,0.27999999999999997,-0.27999999999999997
2,ACH-000172,14,query,ZNF570,hotspot_mutation,-0.13583162635523702,6,15,0.3,-0.3
2,ACH-000172,15,query,SIAE,damaging_mutation,-0.20585127522862381,15,16,0.32,-0.32
2,ACH-000172,16,select,CHD4,,,1,16,0.32,0.9136927489255477
3,ACH-000422,0,query,POT1,expression,0.4455332379940521,4,1,0.02,-0.02
3,ACH-000422,1,query,PATL1,cna,0.04761809934843371,13,2,0.04,-0.04
3,ACH-000422,2,query,DNAJA4,damaging_mutation,-0.025042630066179926,12,3,0.06,-0.06
3,ACH-000422,3,query,DNAJA4,hotspot_mutation,,12,4,0.08,-0.08
3,ACH-000422,4,query,VHL,damaging_mutation,0.8193760133294917,2,5,0.1,-0.1
3,ACH-000422,5,query,IRX2,cna,-0.0306143542968001,14,6,0.12000000000000001,-0.12000000000000001
3,ACH-000422,6,query,VHL,expression,0.8085629715316279,2,7,0.14,-0.14
3,ACH-000422,7,query,SAMD9L,cna,0.09299005362346174,15,8,0.16,-0.16
3,ACH-000422,8,query,MYC,expression,1.460968761590273,1,9,0.18,-0.18
3,ACH-000422,9,query,KMT2D,cna,0.3951155241078205,7,10,0.19999999999999998,-0.19999999999999998
3,ACH-000422,10,query,MYC,damaging_mutation,1.9826384982120995,1,11,0.21999999999999997,-0.21999999999999997
3,ACH-000422,11,query,MYC,cna,1.9440744218759132,1,12,0.23999999999999996,-0.23999999999999996
3,ACH-000422,12,query,MYBPC3,cna,0.08389071295215281,5,13,0.25999999999999995,-0.25999999999999995
3,ACH-000422,13,query,GNAS,damaging_mutation,0.032856513349399395,10,14,0.27999999999999997,-0.27999999999999997
3,ACH-000422,14,query,PATL1,damaging_mutation,0.046041457472623365,13,15,0.3,-0.3
3,ACH-000422,15,query,PIK3CB,expression,0.09774709880130444,3,16,0.32,-0.32
3,ACH-000422,16,query,KCNT2,hotspot_mutation,-0.013693511454182976,11,17,0.34,-0.34
3,ACH-000422,17,query,GNAS,cna,0.04393207222101643,10,18,0.36000000000000004,-0.36000000000000004
3,ACH-000422,18,query,VWA5A,cna,-0.16102701716543286,16,19,0.38000000000000006,-0.38000000000000006
3,ACH-000422,19,select,MYC,,,1,19,0.38000000000000006,1.704482650782212
4,ACH-000845,0,query,NEFM,expression,-0.0883888885156842,11,1,0.02,-0.02
4,ACH-000845,1,query,BNC2,damaging_mutation,-0.052928682398529305,14,2,0.04,-0.04
4,ACH-000845,2,query,ASCC3,cna,0.4621745682076388,3,3,0.06,-0.06
4,ACH-000845,3,query,KNSTRN,expression,0.0020395467045426115,15,4,0.08,-0.08
4,ACH-000845,4,query,DMXL2,expression,0.02486392951162473,4,5,0.1,-0.1
4,ACH-000845,5,query,GNAQ,hotspot_mutation,0.313411606078022,2,6,0.12000000000000001,-0.12000000000000001
4,ACH-000845,6,query,LEPR,hotspot_mutation,0.07739449321935653,13,7,0.14,-0.14
4,ACH-000845,7,query,SMAD4,cna,0.050863460077091825,9,8,0.16,-0.16
4,ACH-000845,8,query,ASCC3,expression,0.4362307201990463,3,9,0.18,-0.18
4,ACH-000845,9,query,LEPR,cna,0.08259220382991148,13,10,0.19999999999999998,-0.19999999999999998
4,ACH-000845,10,query,CHD4,expression,1.1218569985867615,1,11,0.21999999999999997,-0.21999999999999997
4,ACH-000845,11,select,CHD4,,,1,11,0.21999999999999997,0.5569531642632685
5,ACH-000444,0,query,SON,expression,0.9764455625998056,2,1,0.02,-0.02
5,ACH-000444,1,query,ANK3,cna,0.05263476183706395,8,2,0.04,-0.04
5,ACH-000444,2,query,ABI1,damaging_mutation,0.05894323438038093,10,3,0.06,-0.06
5,ACH-000444,3,query,ABI1,hotspot_mutation,,10,4,0.08,-0.08
5,ACH-000444,4,query,RNF152,cna,0.05965900310533164,3,5,0.1,-0.1
5,ACH-000444,5,query,CDKN2A,hotspot_mutation,-0.15990061184287582,16,6,0.12000000000000001,-0.12000000000000001
