gene_true_rank,n_queries,query_fraction,mean_step,mean_observed_value
1,469,0.07585314572214136,7.240938166311301,1.179012981528273
2,365,0.05903283195859615,6.638356164383562,0.6871111937109203
3,393,0.06356137797185832,6.653944020356234,0.2590721237339953
4,379,0.061297104965227237,6.575197889182058,0.17753736273488788
5,374,0.060488436034287565,6.502673796791444,0.13251193540386594
6,384,0.06210577389616691,6.713541666666667,0.09622922405407817
7,375,0.0606501698204755,6.258666666666667,0.06820805274935306
8,363,0.05870936438622028,6.2865013774104685,0.04110140392488703
9,378,0.0611353711790393,6.587301587301587,0.032072729900513255
10,379,0.061297104965227237,6.2928759894459105,0.03437158607440151
11,389,0.06291444282710658,6.460154241645244,0.0113115054054017
12,384,0.06210577389616691,6.565104166666667,-0.007821029412877701
13,393,0.06356137797185832,6.124681933842239,-0.01496943789572588
14,394,0.06372311175804625,6.779187817258883,-0.03333224698612024
15,399,0.06453178068898593,6.543859649122807,-0.03557176920783178
16,365,0.05903283195859615,6.2684931506849315,-0.07157686816780934
